	Parameter	t0	Pt	q0	Pq0	q1	Pq1	q2	Pq2
	 247	201220   	0.1147   	251524   	0.0001998	251524   	0.01079  	503048780	0.00000500
	 248	202033   	0.1091   	252541   	0.0001995	252541   	0.01078  	505081301	0.00000500
	 249	202846   	0.1091   	253557   	0.0001991	253557   	0.01077  	507113821	0.00000500
	 250	203659   	0.1123   	254573   	0.0001988	254573   	0.01077  	509146341	0.00000500
	 251	204472   	0.1128   	255589   	0.0001985	255589   	0.01076  	511178862	0.00000500
	 252	205285   	0.1076   	256606   	0.0001981	256606   	0.01076  	513211382	0.00000500
	 253	206098   	0.1111   	257622   	0.0001978	257622   	0.01075  	515243902	0.00000500
	 254	206911   	0.1123   	258638   	0.0001975	258638   	0.01074  	517276423	0.00000500
	 255	207724   	0.1092   	259654   	0.0001972	259654   	0.01074  	519308943	0.00000500
	 256	208537   	0.1101   	260671   	0.0001968	260671   	0.01073  	521341463	0.00000500
	 257	209350   	0.1092   	261687   	0.0001965	261687   	0.01073  	523373984	0.00000500
	 258	210163   	0.1105   	262703   	0.0001962	262703   	0.01072  	525406504	0.00000500
	 259	210976   	0.1091   	263720   	0.0001959	263720   	0.01072  	527439024	0.00000500
	 260	211789   	0.1098   	264736   	0.0001956	264736   	0.01071  	529471545	0.00000500
	 261	212602   	0.1134   	265752   	0.0001953	265752   	0.01071  	531504065	0.00000500
	 262	213415   	0.1093   	266768   	0.0001950	266768   	0.01070  	533536585	0.00000500
	 263	214228   	0.1119   	267785   	0.0001947	267785   	0.01069  	535569106	0.00000500
	 264	215041   	0.1130   	268801   	0.0001944	268801   	0.01069  	537601626	0.00000500
	 265	215854   	0.1094   	269817   	0.0001942	269817   	0.01068  	539634146	0.00000500
	 266	216667   	0.1104   	270833   	0.0001939	270833   	0.01068  	541666667	0.00000500
	 267	217480   	0.1126   	271850   	0.0001936	271850   	0.01067  	543699187	0.00000500
	 268	218293   	0.1101   	272866   	0.0001933	272866   	0.01067  	545731707	0.00000500
	 269	219106   	0.1086   	273882   	0.0001931	273882   	0.01066  	547764228	0.00000500
	 270	219919   	0.1098   	274898   	0.0001928	274898   	0.01066  	549796748	0.00000500
	 271	220732   	0.1126   	275915   	0.0001925	275915   	0.01065  	551829268	0.00000500
	 272	221545   	0.1101   	276931   	0.0001923	276931   	0.01065  	553861789	0.00000500
	 273	222358   	0.1121   	277947   	0.0001920	277947   	0.01064  	555894309	0.00000500
	 274	223171   	0.1114   	278963   	0.0001917	278963   	0.01064  	557926829	0.00000500
	 275	223984   	0.1085   	279980   	0.0001915	279980   	0.01063  	559959350	0.00000500
	 276	224797   	0.1108   	280996   	0.0001912	280996   	0.01062  	561991870	0.00000500
	 277	225610   	0.1080   	282012   	0.0001910	282012   	0.01062  	564024390	0.00000500
	 278	226423   	0.1113   	283028   	0.0001907	283028   	0.01061  	566056911	0.00000500
	 279	227236   	0.1146   	284045   	0.0001905	284045   	0.01061  	568089431	0.00000500
	 280	228049   	0.1087   	285061   	0.0001903	285061   	0.01060  	570121951	0.00000500
	 281	228862   	0.1121   	286077   	0.0001900	286077   	0.01060  	572154472	0.00000500
	 282	229675   	0.1109   	287093   	0.0001898	287093   	0.01059  	574186992	0.00000500
	 283	230488   	0.1115   	288110   	0.0001895	288110   	0.01059  	576219512	0.00000500
	 284	231301   	0.1128   	289126   	0.0001893	289126   	0.01058  	578252033	0.00000500
	 285	232114   	0.1110   	290142   	0.0001891	290142   	0.01058  	580284553	0.00000500
	 286	232927   	0.1108   	291159   	0.0001888	291159   	0.01057  	582317073	0.00000500
	 287	233740   	0.1095   	292175   	0.0001886	292175   	0.01057  	584349593	0.00000500
	 288	234553   	0.1111   	293191   	0.0001884	293191   	0.01057  	586382114	0.00000500
	 289	235366   	0.1112   	294207   	0.0001882	294207   	0.01056  	588414634	0.00000500
	 290	236179   	0.1135   	295224   	0.0001880	295224   	0.01056  	590447154	0.00000500
	 291	236992   	0.1114   	296240   	0.0001877	296240   	0.01055  	592479675	0.00000500
	 292	237805   	0.1123   	297256   	0.0001875	297256   	0.01055  	594512195	0.00000500
	 293	238618   	0.1105   	298272   	0.0001873	298272   	0.01054  	596544715	0.00000500
	 294	239431   	0.1144   	299289   	0.0001871	299289   	0.01054  	598577236	0.00000500
	 295	240244   	0.1087   	300305   	0.0001869	300305   	0.01053  	600609756	0.00000500
	 296	241057   	0.1128   	301321   	0.0001867	301321   	0.01053  	602642276	0.00000500
	 297	241870   	0.1125   	302337   	0.0001865	302337   	0.01052  	604674797	0.00000500
	 298	242683   	0.1114   	303354   	0.0001863	303354   	0.01052  	606707317	0.00000500
	 299	243496   	0.1115   	304370   	0.0001861	304370   	0.01051  	608739837	0.00000500
	 300	244309   	0.1087   	305386   	0.0001859	305386   	0.01051  	610772358	0.00000500
	 301	245122   	0.1123   	306402   	0.0001857	306402   	0.01050  	612804878	0.00000500
	 302	245935   	0.1143   	307419   	0.0001855	307419   	0.01050  	614837398	0.00000500
	 303	246748   	0.1083   	308435   	0.0001853	308435   	0.01050  	616869919	0.00000500
	 304	247561   	0.1128   	309451   	0.0001851	309451   	0.01049  	618902439	0.00000500
	 305	248374   	0.1135   	310467   	0.0001849	310467   	0.01049  	620934959	0.00000500
	 306	249187   	0.1095   	311484   	0.0001847	311484   	0.01048  	622967480	0.00000500
	 307	250000   	0.1136   	312500   	0.0001845	312500   	0.01048  	625000000	0.00000500
	 308	250813   	0.1147   	313516   	0.0001843	313516   	0.01047  	627032520	0.00000500
	 309	251626   	0.1105   	314533   	0.0001841	314533   	0.01047  	629065041	0.00000500
	 310	252439   	0.1122   	315549   	0.0001839	315549   	0.01046  	631097561	0.00000500
	 311	253252   	0.1119   	316565   	0.0001837	316565   	0.01046  	633130081	0.00000500
	 312	254065   	0.1139   	317581   	0.0001836	317581   	0.01046  	635162602	0.00000500
	 313	254878   	0.1096   	318598   	0.0001834	318598   	0.01045  	637195122	0.00000500
