Parameter,t0,Pt,q0,Pq0,q1,Pq1,q2,Pq2
357,290650,0.0985,108994,0.0003269,3633130,0.001044,726626016,0.00000621
358,291463,0.0925,109299,0.0003226,3643293,0.001044,728658537,0.0000062
359,292276,0.0885,109604,0.0003183,3653455,0.001044,730691057,0.00000619
360,293089,0.0955,109909,0.0003142,3663618,0.001044,732723577,0.00000618
361,293902,0.096,110213,0.00031,3673780,0.001043,734756098,0.00000617
362,294715,0.0855,110518,0.000306,3683943,0.001043,736788618,0.00000616
363,295528,0.097,110823,0.000302,3694106,0.001043,738821138,0.00000615
364,296341,0.0985,111128,0.0002981,3704268,0.001043,740853659,0.00000614
365,297154,0.0955,111433,0.0002942,3714431,0.001043,742886179,0.00000613
366,297967,0.076,111738,0.0002904,3724593,0.001042,744918699,0.00000612
367,298780,0.074,112043,0.0002866,3734756,0.001042,746951220,0.00000612
368,299593,0.0725,112348,0.0002829,3744919,0.001042,748983740,0.00000611
369,300407,0.0815,112652,0.0002793,3755081,0.001042,751016260,0.0000061
370,301220,0.0785,112957,0.0002757,3765244,0.001042,753048780,0.00000609
371,302033,0.074,113262,0.0002721,3775407,0.001042,755081301,0.00000608
372,302846,0.079,113567,0.0002687,3785569,0.001041,757113821,0.00000607
373,303659,0.083,113872,0.0002652,3795732,0.001041,759146341,0.00000606
374,304472,0.079,114177,0.0002619,3805894,0.001041,761178862,0.00000605
375,305285,0.0825,114482,0.0002585,3816057,0.001041,763211382,0.00000604
376,306098,0.071,114787,0.0002552,3826220,0.001041,765243902,0.00000604
377,306911,0.069,115091,0.000252,3836382,0.00104,767276423,0.00000603
378,307724,0.0695,115396,0.0002488,3846545,0.00104,769308943,0.00000602
379,308537,0.071,115701,0.0002457,3856707,0.00104,771341463,0.00000601
380,309350,0.0735,116006,0.0002426,3866870,0.00104,773373984,0.000006
